product_id,product_name,category,mrp,selling_price,brand,unit
30001,Officiis 1L,Pet Supplies,712.43,544.59,Manne Inc,Kg
30002,Perspiciatis 1L,Baby Care,346.05,304.08,Ray Group,ml
30003,Alias Box,Snacks,795.81,601.26,Mangal-Khosla,ml
30004,Culpa Pack,Beverages,559.52,520.65,"Mistry, Kar and Salvi",kg
30005,Delectus 1L,Personal Care,813.37,673.0,,g
30006,Dicta Combo,Household,1087.65,966.84,Goda-Bahri,L
30007,Quos 1L,Personal Care,952.19,883.81,"Sandhu, Behl and Kamdar",ml
30008,Aperiam Jar,Beverages,156.78,127.15,Rajagopalan-Sani,ml
30009,Quidem Box,Bakery,598.17,554.52,Kata-Pall,g
30010,Explicabo Combo,Baby Care,447.51,343.66,Vala Inc,kg
30011,Consequuntur Combo,Bakery,580.16,494.06,Gupta-Gala,ml
30012,Molestias Combo,Household,53.55,45.26,"Seshadri, Sunder and Comar",L
30013,Eius Box,Dairy & Breakfast,282.11,268.77,Sandhu PLC,kg
30014,Nobis Pack,Instant Food,501.94,499.49,,g
30015,Maxime Combo,Dairy & Breakfast,610.26,600.47,"Gera, Dube and Sachdeva",Kg
30016,Maxime Combo,Snacks,35.04,33.72,"Vasa, Walia and Balasubramanian",ml
30017,Aliquid Box,Snacks,234.35,,Raval Inc,PC
30018,Vel Jar,Fruits & Vegetables,816.14,725.69,Balan-Lall,pc
30019,Dolorem Combo,Atta Rice & Dal,772.22,621.95,"Kota, Babu and Kadakia",pc
30020,Earum Box,Meat & Seafood,807.18,679.92,Vohra Group,PC
30021,Vero Jar,Personal Care,489.09,384.22,Seth-Munshi,PC
30022,Officiis Jar,Bakery,559.78,515.28,Handa-Sanghvi,pc
30023,Sequi Box,Pet Supplies,971.31,720.01,Lata Ltd,ml
30024,Dolores 500g,Personal Care,373.91,326.17,Reddy Ltd,kg
30025,Fugiat Box,Instant Food,594.22,592.5,Goyal LLC,g
30026,Reprehenderit 500g,Pet Supplies,834.63,,Kara LLC,ml
30027,Cumque Box,Dairy & Breakfast,454.97,334.68,"Iyengar, Kala and Swamy",PC
30028,Praesentium Box,Snacks,474.91,391.8,"Mangat, Anne and Mital",PC
30029,Tenetur Jar,Household,957.13,719.75,Sathe Inc,ml
30030,Hic Box,Instant Food,1056.85,941.7,"Setty, Sani and Pandit",kg
30031,Deleniti 500g,Baby Care,139.35,110.69,Kohli-Shroff,ml
30032,Nulla Pack,Fruits & Vegetables,201.71,159.5,Pal Inc,g
30033,Tempora Combo,Bakery,111.37,,Rama Group,g
30034,Nihil Jar,Fruits & Vegetables,1141.61,1054.3,Suri LLC,ml
30035,Quaerat 1L,Instant Food,118.24,116.31,Kala Group,PC
30036,Dolorum 500g,Bakery,666.37,663.81,"Bhatnagar, Luthra and Bava",pc
30037,Vitae Combo,Dairy & Breakfast,387.57,293.16,"Bose, Kalita and Ramachandran",Kg
30038,Veniam Combo,Atta Rice & Dal,940.92,869.34,,g
30039,Debitis 1L,Dairy & Breakfast,224.18,,Sankaran Ltd,g
30040,Ipsam 500g,Meat & Seafood,175.68,164.66,Das-Shenoy,kg
30041,Fuga 500g,Bakery,567.42,435.89,"Kota, Grewal and Arya",ml
30042,Mollitia 500g,Beverages,887.5,786.33,"Shanker, Oommen and Pal",kg
30043,Natus 500g,Fruits & Vegetables,968.15,725.69,Goel Ltd,kg
30044,Laudantium Pack,Atta Rice & Dal,683.89,539.51,Sibal-Deshmukh,pc
30045,Natus 500g,Dairy & Breakfast,976.75,825.17,Sachdev Ltd,kg
30046,Autem 500g,Baby Care,1050.63,810.52,Sandhu-Kohli,kg
30047,Doloremque 500g,Fruits & Vegetables,89.47,65.01,Saran Ltd,PC
30048,Fugiat Jar,Snacks,839.7,796.12,"Sanghvi, Khanna and Chaudhry",L
30049,Quo Combo,Atta Rice & Dal,234.9,165.91,"Patla, Anne and Prabhakar",g
30050,Placeat 500g,Household,1074.08,1043.72,Tara-Sengupta,kg
30051,Consequatur 1L,Household,536.55,426.96,Sankar LLC,PC
30052,Fuga 500g,Snacks,587.93,549.59,"Sharaf, Seth and Nagar",pc
30053,Doloremque 1L,Fruits & Vegetables,418.1,400.69,Doctor-Baria,PC
30054,Ipsum Combo,Household,1056.02,1026.61,Mohanty-Malhotra,ml
30055,Magnam Pack,Beverages,760.32,692.03,Majumdar and Sons,kg
30056,Maiores Jar,Personal Care,28.79,25.26,Chhabra-Kaur,pc
30057,Minus Pack,Dairy & Breakfast,1116.23,1008.66,,g
30058,Ipsum Combo,Atta Rice & Dal,407.53,293.19,,PC
30059,Id Pack,Beverages,162.01,117.82,"Chaudry, Puri and Karan",Kg
30060,Distinctio Pack,Beverages,715.97,531.56,"Grover, Kaul and Chopra",Kg
30061,Autem Pack,Meat & Seafood,391.44,308.41,,Kg
30062,Ad 500g,Meat & Seafood,264.29,192.29,"Sawhney, Parsa and Viswanathan",Kg
30063,Aperiam Box,Dairy & Breakfast,151.42,128.09,,L
30064,Sequi 1L,Instant Food,1183.71,916.27,Varughese and Sons,ml
30065,Consectetur Jar,Beverages,846.82,785.7,Dugar LLC,L
30066,Harum Jar,Snacks,784.74,646.72,Gole PLC,pc
30067,Quaerat 1L,Household,1090.32,772.56,,ml
30068,Recusandae Combo,Snacks,513.55,475.38,,kg
30069,Deserunt 1L,Bakery,280.65,216.54,,ml
30070,Iste Box,Instant Food,607.88,578.65,"Kannan, Kapadia and Ramakrishnan",PC
30071,Id Combo,Baby Care,1046.72,895.68,"Kulkarni, Nagarajan and Kant",L
30072,Qui Combo,Pet Supplies,84.38,76.37,Sandal-Chad,ml
30073,Ratione Jar,Pet Supplies,88.06,,Sathe-Patil,ml
30074,Asperiores Combo,Dairy & Breakfast,1068.25,1052.54,Mitter and Sons,pc
30075,Ut 500g,Household,852.41,,Palan Inc,g
30076,Modi 500g,Dairy & Breakfast,629.93,464.37,"Bava, Nigam and Lal",PC
30077,Debitis Jar,Dairy & Breakfast,341.64,328.42,"Vig, Bhardwaj and Dhillon",L
30078,Eius Combo,Pet Supplies,678.98,561.76,Dugal Ltd,Kg
30079,At Jar,Instant Food,543.93,381.08,Dar and Sons,pc
30080,Sunt Combo,Meat & Seafood,127.09,113.06,Sanghvi Ltd,kg
30081,Fugiat 1L,Baby Care,492.33,489.83,Hayer-Magar,ml
30082,Pariatur Jar,Fruits & Vegetables,607.63,460.06,"Murthy, Ravi and Lad",g
30083,Earum Jar,Meat & Seafood,646.77,454.51,Purohit PLC,pc
30084,Nostrum Pack,Bakery,476.24,400.13,Hora-Subramaniam,g
30085,Laudantium Combo,Instant Food,754.4,730.51,Savant-Edwin,pc
30086,Fuga 500g,Meat & Seafood,390.28,316.6,Sethi-Sachdev,pc
30087,Iusto Box,Bakery,940.31,,Mody PLC,Kg
30088,Cum Box,Household,1029.7,809.17,"Ramaswamy, Rege and Mohanty",L
30089,Accusamus Combo,Meat & Seafood,1115.39,951.07,Natarajan PLC,PC
30090,Molestias Pack,Meat & Seafood,522.39,456.64,"Ganesan, Bobal and Devi",PC
30091,Aperiam Jar,Personal Care,215.58,,"Guha, Barad and Srivastava",PC
30092,Enim Combo,Pet Supplies,452.93,390.09,Tara Group,PC
30093,Doloremque 500g,Dairy & Breakfast,119.07,109.9,"Desai, Borah and Varty",g
30094,Eligendi 500g,Beverages,109.7,107.89,Hayre-Kaul,PC
30095,Dolores 500g,Bakery,567.99,544.22,Bajwa-Sharma,L
30096,Voluptatem 1L,Pet Supplies,586.32,470.75,"Pall, Mane and Mishra",kg
30097,Aspernatur 1L,Instant Food,1064.49,791.98,"Balakrishnan, Manne and Verma",g
30098,Similique 500g,Instant Food,551.84,437.49,"Bail, Ramanathan and Apte",g
30099,Eligendi Box,Pet Supplies,347.3,316.6,Yadav-Sur,pc
30100,Labore Box,Personal Care,1039.44,1036.06,"Dhillon, Wali and Bose",Kg
30101,Eos Jar,Fruits & Vegetables,932.54,791.88,Golla-Ganesan,PC
30102,Blanditiis 1L,Baby Care,394.92,356.68,"Handa, Mangal and Koshy",kg
30103,Autem 500g,Atta Rice & Dal,1013.71,918.25,,g
