product_id,product_name,category,mrp,selling_price,brand,unit,discount_percent,price_status
30001,Officiis 1L,Pet Supplies,712.43,544.59,Manne Inc,Kg,23.56,Normal
30002,Perspiciatis 1L,Baby Care,346.05,304.08,Ray Group,ml,12.13,Normal
30003,Alias Box,Snacks,795.81,601.26,Mangal-Khosla,ml,24.45,Normal
30004,Culpa Pack,Beverages,559.52,520.65,"Mistry, Kar and Salvi",Kg,6.95,Normal
30005,Delectus 1L,Personal Care,813.37,673.0,Unknown,g,17.26,Normal
30006,Dicta Combo,Household,1087.65,966.84,Goda-Bahri,L,11.11,Normal
30007,Quos 1L,Personal Care,952.19,883.81,"Sandhu, Behl and Kamdar",ml,7.18,Normal
30008,Aperiam Jar,Beverages,156.78,127.15,Rajagopalan-Sani,ml,18.9,Normal
30009,Quidem Box,Bakery,598.17,554.52,Kata-Pall,g,7.3,Normal
30010,Explicabo Combo,Baby Care,447.51,343.66,Vala Inc,Kg,23.21,Normal
30011,Consequuntur Combo,Bakery,580.16,494.06,Gupta-Gala,ml,14.84,Normal
30012,Molestias Combo,Household,53.55,45.26,"Seshadri, Sunder and Comar",L,15.48,Normal
30013,Eius Box,Dairy & Breakfast,282.11,268.77,Sandhu PLC,Kg,4.73,Normal
30014,Nobis Pack,Instant Food,501.94,499.49,Unknown,g,0.49,Normal
30015,Maxime Combo,Dairy & Breakfast,610.26,600.47,"Gera, Dube and Sachdeva",Kg,1.6,Normal
30016,Maxime Combo,Snacks,35.04,33.72,"Vasa, Walia and Balasubramanian",ml,3.77,Normal
30017,Aliquid Box,Snacks,234.35,195.01,Raval Inc,PC,16.79,Normal
30018,Vel Jar,Fruits & Vegetables,816.14,725.69,Balan-Lall,PC,11.08,Normal
30019,Dolorem Combo,Atta Rice & Dal,772.22,621.95,"Kota, Babu and Kadakia",PC,19.46,Normal
30020,Earum Box,Meat & Seafood,807.18,679.92,Vohra Group,PC,15.77,Normal
30021,Vero Jar,Personal Care,489.09,384.22,Seth-Munshi,PC,21.44,Normal
30022,Officiis Jar,Bakery,559.78,515.28,Handa-Sanghvi,PC,7.95,Normal
30023,Sequi Box,Pet Supplies,971.31,720.01,Lata Ltd,ml,25.87,Normal
30024,Dolores 500g,Personal Care,373.91,326.17,Reddy Ltd,Kg,12.77,Normal
30025,Fugiat Box,Instant Food,594.22,592.5,Goyal LLC,g,0.29,Normal
30026,Reprehenderit 500g,Pet Supplies,834.63,707.15,Kara LLC,ml,15.27,Normal
30027,Cumque Box,Dairy & Breakfast,454.97,334.68,"Iyengar, Kala and Swamy",PC,26.44,Normal
30028,Praesentium Box,Snacks,474.91,391.8,"Mangat, Anne and Mital",PC,17.5,Normal
30029,Tenetur Jar,Household,957.13,719.75,Sathe Inc,ml,24.8,Normal
30030,Hic Box,Instant Food,1056.85,941.7,"Setty, Sani and Pandit",Kg,10.9,Normal
30031,Deleniti 500g,Baby Care,139.35,110.69,Kohli-Shroff,ml,20.57,Normal
30032,Nulla Pack,Fruits & Vegetables,201.71,159.5,Pal Inc,g,20.93,Normal
30033,Tempora Combo,Bakery,111.37,92.95,Rama Group,g,16.54,Normal
30034,Nihil Jar,Fruits & Vegetables,1141.61,1054.3,Suri LLC,ml,7.65,Normal
30035,Quaerat 1L,Instant Food,118.24,116.31,Kala Group,PC,1.63,Normal
30036,Dolorum 500g,Bakery,666.37,663.81,"Bhatnagar, Luthra and Bava",PC,0.38,Normal
30037,Vitae Combo,Dairy & Breakfast,387.57,293.16,"Bose, Kalita and Ramachandran",Kg,24.36,Normal
30038,Veniam Combo,Atta Rice & Dal,940.92,869.34,Unknown,g,7.61,Normal
30039,Debitis 1L,Dairy & Breakfast,224.18,195.19,Sankaran Ltd,g,12.93,Normal
30040,Ipsam 500g,Meat & Seafood,175.68,164.66,Das-Shenoy,Kg,6.27,Normal
30041,Fuga 500g,Bakery,567.42,435.89,"Kota, Grewal and Arya",ml,23.18,Normal
30042,Mollitia 500g,Beverages,887.5,786.33,"Shanker, Oommen and Pal",Kg,11.4,Normal
30043,Natus 500g,Fruits & Vegetables,968.15,725.69,Goel Ltd,Kg,25.04,Normal
30044,Laudantium Pack,Atta Rice & Dal,683.89,539.51,Sibal-Deshmukh,PC,21.11,Normal
30045,Natus 500g,Dairy & Breakfast,976.75,825.17,Sachdev Ltd,Kg,15.52,Normal
30046,Autem 500g,Baby Care,1050.63,810.52,Sandhu-Kohli,Kg,22.85,Normal
30047,Doloremque 500g,Fruits & Vegetables,89.47,65.01,Saran Ltd,PC,27.34,Normal
30048,Fugiat Jar,Snacks,839.7,796.12,"Sanghvi, Khanna and Chaudhry",L,5.19,Normal
30049,Quo Combo,Atta Rice & Dal,234.9,165.91,"Patla, Anne and Prabhakar",g,29.37,Normal
30050,Placeat 500g,Household,1074.08,1043.72,Tara-Sengupta,Kg,2.83,Normal
30051,Consequatur 1L,Household,536.55,426.96,Sankar LLC,PC,20.42,Normal
30052,Fuga 500g,Snacks,587.93,549.59,"Sharaf, Seth and Nagar",PC,6.52,Normal
30053,Doloremque 1L,Fruits & Vegetables,418.1,400.69,Doctor-Baria,PC,4.16,Normal
30054,Ipsum Combo,Household,1056.02,1026.61,Mohanty-Malhotra,ml,2.78,Normal
30055,Magnam Pack,Beverages,760.32,692.03,Majumdar and Sons,Kg,8.98,Normal
30056,Maiores Jar,Personal Care,28.79,25.26,Chhabra-Kaur,PC,12.26,Normal
30057,Minus Pack,Dairy & Breakfast,1116.23,1008.66,Unknown,g,9.64,Normal
30058,Ipsum Combo,Atta Rice & Dal,407.53,293.19,Unknown,PC,28.06,Normal
30059,Id Pack,Beverages,162.01,117.82,"Chaudry, Puri and Karan",Kg,27.28,Normal
