order_id,customer_id,store_id,platform_id,order_datetime,promised_delivery_min,actual_delivery_min,order_status,payment_mode,order_value_inr,discount_inr
7000001,400066,6113,2,2024-02-23,30,43.0,Pending,COD ,2735.08,192.51
7000002,402406,6057,2,2025-01-08,20,16.0,CANCELLED,COD,2474.12,4.03
7000003,403159,6099,3,2025-04-20,10,10.0,Delivered,UPI,3374.88,115.84
7000004,403028,6018,4,04-04-2024,20,23.0,Returned,COD ,1068.44,41.33
7000005,403935,6009,1,2025-06-06,30,23.0,delivered,COD,1584.63,
7000006,400522,6148,2,2023-07-26,10,10.0,delivered,Wallet,404.98,34.87
7000007,402017,6023,3,2023-05-19,10,,Cancelled,Card,2035.61,55.42
7000008,402975,6102,1,11-Apr-2025,20,5.0,Delivered,COD,1744.62,180.99
7000009,400886,6034,2,2024-03-28,30,38.0,Delivered,COD,1119.59,24.7
7000010,402826,6136,3,2025-04-25,20,24.0,Cancelled,upi,1692.32,
7000011,402917,6107,1,06-19-2025,30,24.0,Returned,Wallet,1647.94,97.01
7000012,401574,6095,2,2024-03-02,10,8.0,Delivered,UPI,2316.44,152.06
7000013,401092,6019,4,2024-03-08,20,24.0,Returned,upi,264.77,124.94
7000014,400761,6004,4,17-Jul-2023,10,7.0,delivered,COD,907.3,115.98
7000015,402836,6082,2,2023-07-02,10,8.0,CANCELLED,COD,1100.83,140.8
7000016,401680,6070,4,2024-08-24,15,3.0,Cancelled,COD,54.88,31.26
7000017,403912,6077,4,2024-12-24,10,14.0,Pending,upi,1475.5,99.49
7000018,401141,6004,3,06-03-2024,30,30.0,Pending,Card,2088.05,17.99
7000019,402182,6102,3,16-Feb-2023,20,22.0,In Transit,UPI,2067.91,195.16
7000020,401263,6017,3,2024-11-16,20,7.0,In Transit,UPI,849.21,74.9
7000021,403836,6056,2,09-Jul-2024,20,33.0,delivered,COD ,696.06,148.66
7000022,402975,6125,3,2024-05-04,20,21.0,In Transit,Card,2124.93,55.24
7000023,400118,6047,3,2024-08-30,30,26.0,Cancelled,Card,1341.96,161.72
7000024,403589,6023,2,07/04/2024,20,36.0,Returned,UPI,1896.48,166.76
7000025,401357,6049,1,2023-01-05,20,19.0,Returned,Card,1002.9,80.1
7000026,401530,6125,2,20/02/2023,30,,CANCELLED,UPI,2147.0,168.43
7000027,402372,6121,1,2023-04-20,15,11.0,Delivered,COD ,241.09,109.67
7000028,403220,6096,1,2023-04-17,30,11.0,CANCELLED,COD ,,
7000029,403861,6042,4,2023-09-21,10,18.0,In Transit,Wallet,988.67,175.06
7000030,402682,6141,3,2024-01-22,30,26.0,CANCELLED,Card,1241.39,110.24
7000031,400777,6051,3,2023-12-26,30,24.0,Delivered,Card,1061.66,67.95
7000032,400764,6018,4,2024-01-30,15,23.0,Delivered,Wallet,1415.77,37.26
7000033,400401,6132,3,2025-01-25,20,6.0,delivered,COD ,2067.34,
7000034,401504,6002,2,2023-12-08,10,14.0,Pending,Card,1138.04,94.19
7000035,402608,6029,1,2025-01-19,10,2.0,Delivered,COD ,125.49,4.8
7000036,403228,6123,4,2024-10-14,10,4.0,Delivered,UPI,1416.12,113.64
7000037,403516,6122,1,2024-04-10,10,2.0,delivered,COD ,1080.73,191.32
7000038,401361,6032,1,2023-10-01,15,26.0,Pending,UPI,336.28,103.77
7000039,402758,6102,4,2024-11-03,20,34.0,In Transit,upi,2396.66,161.95
7000040,401017,6017,2,2023-05-19,15,12.0,delivered,Wallet,3218.59,162.19
7000041,400714,6139,1,2023-10-02,30,36.0,Delivered,COD,2831.03,7.06
7000042,400880,6058,1,2024-03-13,20,18.0,Pending,COD,3315.78,
7000043,401177,6002,2,2024-07-16,15,19.0,CANCELLED,COD ,71.65,67.14
7000044,402389,6078,3,2025-06-27,20,13.0,In Transit,COD,198.64,14.0
7000045,401805,6126,2,2024-08-26,10,2.0,Delivered,COD ,157.7,176.88
7000046,400061,6135,4,2025-02-11,10,2.0,Returned,Card,1304.34,37.81
7000047,400949,6042,2,2024-12-27,30,33.0,Pending,UPI,2971.39,172.01
7000048,402340,6056,1,2024-05-10,15,32.0,Cancelled,COD ,3478.4,160.91
7000049,401388,6069,1,2024-05-20,20,22.0,Returned,COD,897.63,31.63
7000050,400525,6098,4,2023-07-22,10,5.0,delivered,Card,1900.99,175.78
7000051,401672,6139,2,2024-12-02,15,30.0,Delivered,Wallet,1725.25,149.77
7000052,401006,6096,1,2024-10-03,10,11.0,Pending,upi,1285.26,
7000053,401679,6140,2,2025-05-18,30,30.0,delivered,Wallet,1968.38,92.86
7000054,403639,6145,1,2023-11-18,20,22.0,Delivered,COD,410.36,111.01
7000055,402400,6015,4,2024-03-06,20,18.0,Pending,COD,1861.82,195.63
7000056,400074,6127,1,2025-06-16,20,17.0,Delivered,Card,947.46,90.5
7000057,401664,6101,4,2024-09-10,10,2.0,Pending,upi,2968.83,8.66
7000058,402292,6023,4,2023-05-11,30,34.0,In Transit,UPI,,176.83
7000059,402225,6035,1,11-21-2024,15,14.0,Pending,Card,1413.88,
7000060,401301,6016,3,07-17-2025,15,24.0,In Transit,Card,376.35,79.85
7000061,403869,6144,4,2025-04-12,10,7.0,CANCELLED,COD ,2377.19,9.85
7000062,402641,6132,4,2025-07-21,30,14.0,Pending,upi,101.12,102.34
7000063,403161,6032,1,2024-10-02,20,19.0,Delivered,upi,2219.12,83.05
7000064,403312,6053,2,2023-07-15,10,23.0,Returned,UPI,2251.34,123.53
7000065,400074,6124,3,07-30-2023,15,11.0,In Transit,COD ,1112.8,14.28
7000066,402763,6110,1,2023-01-11,15,7.0,Returned,Wallet,2188.04,22.8
7000067,400281,6145,3,2024-03-25,20,,Pending,COD ,1084.49,14.45
7000068,403031,6074,4,2024-10-30,30,21.0,CANCELLED,COD,3256.31,6.84
7000069,401269,6141,3,2025-04-23,10,7.0,delivered,Card,2606.15,54.73
7000070,401100,6045,4,2023-01-09,10,2.0,Delivered,COD,2008.63,148.63
7000071,402111,6099,2,07-16-2024,20,31.0,Delivered,Wallet,454.48,48.01
7000072,403349,6009,2,2025-03-26,10,7.0,Pending,COD ,1318.93,18.56
