order_item_id,order_id,product_id,quantity,item_price_inr
900001,7013264,30826,7,643.23
900002,7008377,30168,11,761.36
900003,7012539,30735,4,436.72
900004,7007755,31270,7,680.48
900005,7011777,31125,7,235.5
900006,7002759,30770,11,1185.03
900007,7006124,31497,8,674.54
900008,7012563,30090,6,695.25
900009,7002907,30238,-2,1069.22
900010,7006171,31410,5,844.29
900011,7014779,30678,9,587.37
900012,7013311,31057,2,155.0
900013,7000967,30228,10,1135.89
900014,7014600,30415,3,574.94
900015,7006024,30050,3,442.51
900016,7014283,30469,8,478.34
900017,7006438,30023,12,287.6
900018,7000065,31288,7,880.79
900019,7011778,30607,7,
900020,7007825,30494,2,844.4
900021,7001362,30578,7,1138.03
900022,7013276,30690,11,803.43
900023,7004749,31084,9,353.19
900024,7008225,30263,11,1142.55
900025,7001355,30367,6,460.03
900026,7007121,30663,-3,166.28
900027,7002544,30383,2,740.79
900028,7010232,31497,5,606.36
900029,7005843,30866,11,1019.69
900030,7000090,30074,9,372.08
900031,7002720,30422,4,953.22
900032,7006508,30773,1,250.69
900033,7002018,30771,3,879.77
900034,7005036,30747,9,1167.21
900035,7014737,30059,4,884.15
900036,7004765,30730,3,853.74
900037,7002537,30876,10,280.89
900038,7008155,30514,2,426.55
900039,7013275,30633,12,927.02
900040,7008959,31062,12,993.33
900041,7010252,30576,1,1043.76
900042,7010701,30024,2,384.37
900043,7004812,31417,1,317.06
900044,7007825,30575,6,981.66
900045,7002726,30113,12,808.46
900046,7009155,30590,11,212.53
900047,7004279,31181,2,835.68
900048,7005970,30238,2,650.86
900049,7009447,30802,8,356.92
900050,7002041,30470,6,713.7
900051,7008163,31490,10,126.74
900052,7001768,30358,5,808.89
900053,7010997,30692,1,459.21
900054,7007435,30089,4,498.79
900055,7008209,30031,7,972.32
900056,7000047,31333,9,560.12
900057,7006734,30181,6,1190.23
900058,7011774,30654,7,518.97
900059,7007888,30817,7,
900060,7000256,31339,3,1120.2
900061,7008946,30132,7,625.06
900062,7012371,30459,6,549.79
900063,7000291,31109,10,880.33
900064,7006297,30039,7,252.78
900065,7004962,30490,11,270.05
900066,7007747,30371,1,221.6
900067,7009986,31493,5,343.79
900068,7004487,30758,4,585.3
900069,7010229,31099,5,360.55
900070,7005498,30117,11,213.81
900071,7006558,30446,2,304.57
900072,7011390,30778,10,187.91
900073,7002115,30851,2,350.74
900074,7007919,31496,6,759.54
900075,7013641,30188,11,705.76
900076,7004984,30155,2,925.2
900077,7003150,30743,2,531.9
900078,7007700,31225,4,862.68
900079,7009153,30021,5,90.78
900080,7012816,31021,1,22.91
900081,7009711,31421,11,532.29
900082,7014523,30962,3,474.29
900083,7000610,30121,-5,1183.08
900084,7000053,30851,5,757.06
900085,7008190,31435,1,1117.0
900086,7001420,30201,12,1090.41
900087,7014733,30456,6,800.87
900088,7000572,31116,3,90.38
900089,7007893,30972,4,278.28
900090,7000014,31101,4,618.99
900091,7008677,31023,11,203.51
900092,7010732,31111,6,1065.44
900093,7013091,30984,6,1166.16
900094,7002749,30882,9,1177.68
900095,7011086,31438,11,368.77
900096,7000747,30229,1,371.94
900097,7000699,30691,2,1095.33
900098,7001777,31490,2,551.73
900099,7007982,30804,8,1009.91
900100,7006944,30008,4,226.96
900101,7014386,30474,4,134.93
900102,7014859,30103,5,60.27
900103,7002765,31163,5,904.47
900104,7000793,31172,6,821.52
900105,7010848,30937,11,981.34
900106,7009875,30189,9,731.81
900107,7012394,31383,4,1118.23
900108,7000971,30794,5,839.25
900109,7012031,31267,12,572.38
900110,7001270,31476,11,672.31
900111,7008077,30799,10,220.83
900112,7013388,30208,6,1086.84
900113,7002079,31492,2,394.55
900114,7007759,30607,4,382.97
900115,7008665,31097,6,216.07
900116,7000653,31076,1,625.18
900117,7011603,30543,1,821.66
900118,7009662,30879,2,716.16
900119,7008377,30260,2,101.22
900120,7000395,31491,4,431.61
900121,7002529,31387,2,638.98
900122,7011724,31140,6,948.99
900123,7008038,30940,10,503.79
900124,7009237,30391,5,847.48
900125,7003717,31038,10,919.46
900126,7013127,30015,7,728.12
900127,7007036,30238,5,1055.84
900128,7013677,30410,10,941.8
900129,7013872,31493,2,466.08
900130,7002986,31181,1,125.7
900131,7012157,31038,11,147.86
900132,7012131,30180,5,995.42
900133,7002498,31085,8,905.95
900134,7001447,30978,4,402.93
