delivery_id,order_id,rider_id,distance_km,vehicle_type,delivery_rating,delay_flag
600001,7006020,100244,6.18,EV Scooter,3.4,N
600002,7013837,102935,11.54,EV,5.0,N
600003,7000651,102034,11.08,EV Scooter,1.6,N
600004,7006948,102907,4.11,EV Scooter,2.7,N
600005,7007009,100835,3.77,bike,1.4,N
600006,7009616,102593,9.64,EV,4.9,Y
600007,7009649,101084,,bike,1.9,N
600008,7013498,102572,7.9,EV,1.5,N
600009,7000280,101601,,bike,1.5,N
600010,7012095,103429,9.75,EV Scooter,4.9,Y
600011,7011525,103549,1.58,Bicycle,4.0,N
600012,7006899,100111,10.41,Bicycle,,N
600013,7003312,100710,,EV,2.6,Y
600014,7006349,102752,11.22,bike,2.2,N
600015,7012024,102913,6.23,EV Scooter,4.5,N
600016,7009849,100106,0.77,EV Scooter,2.0,N
600017,7001665,103460,6.16,EV,3.6,Y
600018,7007523,100032,1.35,Bicycle,4.7,Y
600019,7002452,103282,6.13,EV,1.8,Y
600020,7012360,100918,0.92,Bike,1.3,N
600021,7000873,102203,1.39,Bike,1.5,Y
600022,7012951,101579,9.22,Bicycle,3.5,N
600023,7008562,101596,11.06,EV Scooter,,Y
600024,7013438,100883,10.14,EV Scooter,2.9,N
600025,7011507,102036,8.85,Bicycle,3.8,Y
600026,7006446,100434,3.51,Bike,3.3,N
600027,7011700,103446,4.18,Bike,2.4,Y
600028,7012034,102264,9.03,EV,,Y
600029,7005745,102160,7.62,Bike,,Y
600030,7008932,102859,1.49,Bicycle,2.2,N
600031,7003872,100601,4.21,Bicycle,3.2,Y
600032,7014314,100916,1.56,Bicycle,2.5,N
600033,7011309,103121,1.93,EV,2.4,Y
600034,7006751,102721,0.9,bike,2.2,Y
600035,7009467,103917,4.68,Bike,4.7,N
600036,7008238,103364,5.7,EV,4.1,N
600037,7004093,102217,,EV,1.2,N
600038,7013074,100127,1.78,EV Scooter,2.7,N
600039,7013128,103475,0.56,bike,4.8,N
600040,7004005,103586,1.17,EV Scooter,4.3,Y
600041,7008157,102349,4.17,bike,2.6,N
600042,7009706,103961,8.44,EV,,Y
600043,7014355,103793,1.38,EV Scooter,3.9,N
600044,7005790,103679,2.18,EV,1.7,N
600045,7004461,102664,4.03,EV Scooter,2.5,N
600046,7007350,102523,7.73,EV Scooter,2.9,Y
600047,7011710,101574,6.52,EV Scooter,1.3,Y
600048,7011656,102310,5.73,Bike,1.3,N
600049,7001249,102752,8.73,Bicycle,3.5,N
600050,7007077,100154,,EV Scooter,1.9,Y
600051,7007605,100368,6.05,bike,4.8,Y
600052,7006424,101723,9.41,EV,3.7,N
600053,7013918,101821,3.05,bike,2.2,Y
600054,7001083,103172,10.28,Bicycle,,N
600055,7003674,102508,11.36,EV Scooter,4.3,N
600056,7005820,102264,5.82,Bike,3.5,Y
600057,7007127,102492,4.11,bike,2.2,N
600058,7003225,100079,2.22,Bicycle,2.5,Y
600059,7001032,101528,11.86,Bicycle,1.6,Y
600060,7008684,103289,0.95,bike,4.3,N
600061,7005231,103980,5.65,EV Scooter,3.1,N
600062,7005211,101743,11.83,bike,2.7,N
600063,7007842,100511,10.42,bike,4.7,Y
600064,7005296,103614,0.85,EV Scooter,2.7,N
600065,7001338,100774,9.69,Bicycle,1.6,N
600066,7010151,100553,,Bicycle,1.8,N
600067,7013207,103393,1.82,EV,,N
600068,7005603,102664,,EV,1.6,N
600069,7004809,100950,8.43,Bike,2.7,N
600070,7013869,103757,3.45,Bike,4.3,Y
600071,7013336,101861,5.05,EV Scooter,2.1,Y
600072,7005463,102361,9.21,EV,2.3,N
600073,7007962,102065,8.43,EV,,N
600074,7006585,103111,9.73,EV Scooter,3.8,N
600075,7000978,103970,4.32,EV Scooter,4.3,Y
600076,7011523,101991,11.27,bike,4.2,Y
600077,7013426,102226,10.2,Bicycle,3.9,Y
600078,7010467,102904,10.61,Bicycle,2.9,N
600079,7000595,102051,7.75,EV Scooter,4.2,N
600080,7006763,101329,5.41,EV Scooter,3.8,Y
600081,7007328,103591,9.53,EV Scooter,3.0,N
600082,7010407,100750,11.9,Bike,1.2,N
600083,7013379,103423,9.93,bike,1.9,N
600084,7000560,101168,9.91,EV,3.1,Y
600085,7005182,103062,6.49,EV,1.6,N
600086,7000384,102210,5.72,bike,3.9,Y
600087,7010661,100327,8.84,EV Scooter,1.9,N
