store_id,platform_id,store_name,city,pincode,sqft_area,opened_date,city_clean,clean_store_name,pincode_status
6001,1,Jaipur Dark Store 6001,Hyderabad,Unknown,2576.0,2023-06-16,Hyderabad,Jaipur Dark Store,Invalid
6002,4,Mumbai Dark Store 6002,Lucknow,830166,1714.0,2021-12-23,Lucknow,Mumbai Dark Store,Valid
6003,1,Lucknow Dark Store 6003,Lucknow,860913,3042.5,2024-10-12,Lucknow,Lucknow Dark Store,Valid
6004,3,Kolkata Dark Store 6004,Bengaluru,996030,3094.0,2024-05-30,Bengaluru,Kolkata Dark Store,Valid
6005,3,Delhi Dark Store 6005,Jaipur,462819,2708.0,2023-03-04,Jaipur,Delhi Dark Store,Valid
6006,4,Pune Dark Store 6006,Ahmedabad,199351,2656.0,2024-05-14,Ahmedabad,Pune Dark Store,Valid
6007,2,Kochi Dark Store 6007,Hyderabad,909378,2029.0,2023-10-07,Hyderabad,Kochi Dark Store,Valid
6008,4,Chennai Dark Store 6008,Lucknow,797543,1283.0,2025-08-07,Lucknow,Chennai Dark Store,Valid
6009,2,Ahmedabad Dark Store 6009,Kolkata,Unknown,3537.0,2025-04-10,Kolkata,Ahmedabad Dark Store,Invalid
6010,3,Pune Dark Store 6010,Kochi,911862,2834.0,2025-05-31,Kochi,Pune Dark Store,Valid
6011,1,Chennai Dark Store 6011,Ahmedabad,760189,1066.0,2025-07-28,Ahmedabad,Chennai Dark Store,Valid
6012,4,Chennai Dark Store 6012,Kochi,559797,3538.0,2021-12-21,Kochi,Chennai Dark Store,Valid
6013,3,Bengaluru Dark Store 6013,Lucknow,471049,1041.0,2026-08-05,Lucknow,Bengaluru Dark Store,Valid
6014,2,Kolkata Dark Store 6014,Kolkata,465075,2833.0,2022-06-20,Kolkata,Kolkata Dark Store,Valid
6015,3,Bengaluru Dark Store 6015,Kolkata,703423,1940.0,2023-08-14,Kolkata,Bengaluru Dark Store,Valid
6016,4,Hyderabad Dark Store 6016,Bangalore,127684,2615.0,2026-01-17,Bangalore,Hyderabad Dark Store,Valid
6017,2,Chennai Dark Store 6017,Chennai,Unknown,2516.0,2022-05-20,Chennai,Chennai Dark Store,Invalid
6018,3,Bengaluru Dark Store 6018,Kochi,233079,3329.0,2022-07-16,Kochi,Bengaluru Dark Store,Valid
6019,4,Chandigarh Dark Store 6019,Jaipur,Unknown,2434.0,2024-06-17,Jaipur,Chandigarh Dark Store,Invalid
6020,4,Mumbai Dark Store 6020,Hyderabad,890786,1655.0,2023-08-14,Hyderabad,Mumbai Dark Store,Valid
6021,1,Mumbai Dark Store 6021,Lucknow,176031,1215.0,2026-07-21,Lucknow,Mumbai Dark Store,Valid
6022,1,Hyderabad Dark Store 6022,Lucknow,215901,3398.0,2021-08-18,Lucknow,Hyderabad Dark Store,Valid
6023,3,Ahmedabad Dark Store 6023,NCR,815901,2708.0,2025-12-31,Ncr,Ahmedabad Dark Store,Valid
6024,2,Delhi Dark Store 6024,Kochi,245957,1884.0,2022-03-30,Kochi,Delhi Dark Store,Valid
6025,1,Hyderabad Dark Store 6025,Jaipur,777412,3626.0,2022-02-20,Jaipur,Hyderabad Dark Store,Valid
6026,1,Kochi Dark Store 6026,Chennai,472803,1484.0,2026-05-20,Chennai,Kochi Dark Store,Valid
6027,3,Chandigarh Dark Store 6027,Hyderabad,280841,3906.0,2025-02-09,Hyderabad,Chandigarh Dark Store,Valid
6028,4,Kochi Dark Store 6028,Hyderabad,852538,2818.0,2024-05-02,Hyderabad,Kochi Dark Store,Valid
6029,3,Ahmedabad Dark Store 6029,Chennai,393363,3278.0,2022-08-18,Chennai,Ahmedabad Dark Store,Valid
6030,3,Pune Dark Store 6030,New Delhi,500474,2183.0,2022-08-06,New delhi,Pune Dark Store,Valid
6031,1,Ahmedabad Dark Store 6031,Chandigarh,755131,3434.0,2022-10-06,Chandigarh,Ahmedabad Dark Store,Valid
6032,4,Kochi Dark Store 6032,Hyderabad,537990,1531.0,2024-01-10,Hyderabad,Kochi Dark Store,Valid
6033,1,Kochi Dark Store 6033,Kolkata,116372,3844.0,2023-10-19,Kolkata,Kochi Dark Store,Valid
6034,2,Bengaluru Dark Store 6034,mumbai,167612,1398.0,2022-06-24,Mumbai,Bengaluru Dark Store,Valid
