order_item_id,order_id,product_id,quantity,item_price_inr,line_total_inr
900001,7013264,30826,7.0,643.23,4502.61
900002,7008377,30168,11.0,761.36,8374.96
900003,7012539,30735,4.0,436.72,1746.88
900004,7007755,31270,7.0,680.48,4763.36
900005,7011777,31125,7.0,235.5,1648.5
900006,7002759,30770,11.0,1185.03,13035.33
900007,7006124,31497,8.0,674.54,5396.32
900008,7012563,30090,6.0,695.25,4171.5
900009,7002907,30238,2.0,1069.22,2138.44
900010,7006171,31410,5.0,844.29,4221.45
900011,7014779,30678,9.0,587.37,5286.33
900012,7013311,31057,2.0,155.0,310.0
900013,7000967,30228,10.0,1135.89,11358.9
900014,7014600,30415,3.0,574.94,1724.82
900015,7006024,30050,3.0,442.51,1327.53
900016,7014283,30469,8.0,478.34,3826.72
900017,7006438,30023,12.0,287.6,3451.2
900018,7000065,31288,7.0,880.79,6165.53
900019,7011778,30607,7.0,516.35,3614.45
900020,7007825,30494,2.0,844.4,1688.8
900021,7001362,30578,7.0,1138.03,7966.21
900022,7013276,30690,11.0,803.43,8837.73
900023,7004749,31084,9.0,353.19,3178.71
900024,7008225,30263,11.0,1142.55,12568.05
900025,7001355,30367,6.0,460.03,2760.18
900026,7007121,30663,3.0,166.28,498.84
900027,7002544,30383,2.0,740.79,1481.58
900028,7010232,31497,5.0,606.36,3031.8
900029,7005843,30866,11.0,1019.69,11216.59
900030,7000090,30074,9.0,372.08,3348.72
900031,7002720,30422,4.0,953.22,3812.88
900032,7006508,30773,1.0,250.69,250.69
900033,7002018,30771,3.0,879.77,2639.31
900034,7005036,30747,9.0,1167.21,10504.89
900035,7014737,30059,4.0,884.15,3536.6
900036,7004765,30730,3.0,853.74,2561.22
900037,7002537,30876,10.0,280.89,2808.9
900038,7008155,30514,2.0,426.55,853.1
900039,7013275,30633,12.0,927.02,11124.24
900040,7008959,31062,12.0,993.33,11919.96
900041,7010252,30576,1.0,1043.76,1043.76
900042,7010701,30024,2.0,384.37,768.74
900043,7004812,31417,1.0,317.06,317.06
900044,7007825,30575,6.0,981.66,5889.96
900045,7002726,30113,12.0,808.46,9701.52
900046,7009155,30590,11.0,212.53,2337.83
900047,7004279,31181,2.0,835.68,1671.36
900048,7005970,30238,2.0,650.86,1301.72
900049,7009447,30802,8.0,356.92,2855.36
900050,7002041,30470,6.0,713.7,4282.2
900051,7008163,31490,10.0,126.74,1267.4
900052,7001768,30358,5.0,808.89,4044.45
900053,7010997,30692,1.0,459.21,459.21
900054,7007435,30089,4.0,498.79,1995.16
900055,7008209,30031,7.0,972.32,6806.24
900056,7000047,31333,9.0,560.12,5041.08
900057,7006734,30181,6.0,1190.23,7141.38
900058,7011774,30654,7.0,518.97,3632.79
900059,7007888,30817,7.0,522.64,3658.48
900060,7000256,31339,3.0,1120.2,3360.6
900061,7008946,30132,7.0,625.06,4375.42
900062,7012371,30459,6.0,549.79,3298.74
900063,7000291,31109,10.0,880.33,8803.3
900064,7006297,30039,7.0,252.78,1769.46
900065,7004962,30490,11.0,270.05,2970.55
900066,7007747,30371,1.0,221.6,221.6
900067,7009986,31493,5.0,343.79,1718.95
900068,7004487,30758,4.0,585.3,2341.2
900069,7010229,31099,5.0,360.55,1802.75
900070,7005498,30117,11.0,213.81,2351.91
900071,7006558,30446,2.0,304.57,609.14
900072,7011390,30778,10.0,187.91,1879.1
900073,7002115,30851,2.0,350.74,701.48
900074,7007919,31496,6.0,759.54,4557.24
900075,7013641,30188,11.0,705.76,7763.36
900076,7004984,30155,2.0,925.2,1850.4
900077,7003150,30743,2.0,531.9,1063.8
900078,7007700,31225,4.0,862.68,3450.72
900079,7009153,30021,5.0,90.78,453.9
900080,7012816,31021,1.0,22.91,22.91
900081,7009711,31421,11.0,532.29,5855.19
900082,7014523,30962,3.0,474.29,1422.87
900083,7000610,30121,5.0,1183.08,5915.4
900084,7000053,30851,5.0,757.06,3785.3
900085,7008190,31435,1.0,1117.0,1117.0
900086,7001420,30201,12.0,1090.41,13084.92
900087,7014733,30456,6.0,800.87,4805.22
900088,7000572,31116,3.0,90.38,271.14
900089,7007893,30972,4.0,278.28,1113.12
900090,7000014,31101,4.0,618.99,2475.96
900091,7008677,31023,11.0,203.51,2238.61
900092,7010732,31111,6.0,1065.44,6392.64
