inventory_id,store_id,product_id,stock_units,reorder_level,last_restock_date,expiry_date
500001,6135,30435,20.0,32.0,2026-08-18,2026-08-19
500002,6003,31198,441.0,44.0,2026-08-18,2026-08-19
500003,6076,31361,237.0,82.0,2026-08-18,2026-08-19
500004,6018,31429,749.0,85.0,2026-08-18,2026-08-19
500005,6032,31064,620.0,41.0,2026-08-18,2026-08-19
500006,6054,31045,19.0,98.0,2026-08-18,2026-08-19
500007,6005,30921,95.0,22.0,2026-08-18,2026-08-19
500008,6031,30734,565.0,50.0,2026-08-18,2026-08-19
500009,6099,30392,253.0,40.0,2026-08-18,2026-08-19
500010,6045,30547,708.0,44.0,2026-08-18,2026-08-19
500011,6018,31438,89.0,18.0,2026-08-18,2026-08-19
500012,6085,30172,656.0,76.0,2026-08-18,2026-08-19
500013,6062,30055,160.0,94.0,2026-08-18,2026-08-19
500014,6050,31386,495.0,13.0,2026-08-18,2026-08-19
500015,6024,30413,501.0,89.0,2026-08-18,2026-08-19
500016,6008,30921,631.0,96.0,2026-08-18,2026-08-19
500017,6092,30498,381.0,18.0,2026-08-18,2026-08-19
500018,6059,31132,325.0,60.0,2026-08-18,2026-08-19
500019,6045,30251,0.0,18.0,2026-08-18,2026-08-19
500020,6138,30108,115.0,83.0,2026-08-18,2026-08-19
500021,6079,30503,710.0,7.0,2026-08-18,2026-08-19
500022,6014,30141,161.0,75.0,2026-08-18,2026-08-19
500023,6150,31220,567.0,18.0,2026-08-18,2026-08-19
500024,6039,30665,450.0,95.0,2026-08-18,2026-08-19
500025,6018,30416,655.0,52.61587436332768,2026-08-18,2026-08-19
500026,6080,31469,375.0,6.0,2026-08-18,2026-08-19
500027,6104,30162,469.0,58.0,2026-08-18,2026-08-19
500028,6118,30281,34.0,87.0,2026-08-18,2026-08-19
500029,6038,30722,782.0,70.0,2026-08-18,2026-08-19
500030,6132,30815,442.0,13.0,2026-08-18,2026-08-19
500031,6067,31083,97.0,38.0,2026-08-18,2026-08-19
500032,6069,30203,659.0,89.0,2026-08-18,2026-08-19
500033,6033,30908,774.0,34.0,2026-08-18,2026-08-19
500034,6052,30576,165.0,13.0,2026-08-18,2026-08-19
500035,6005,31391,337.0,9.0,2026-08-18,2026-08-19
500036,6109,31368,391.0,16.0,2026-08-18,2026-08-19
500037,6116,31162,0.0,100.0,2026-08-18,2026-08-19
500038,6096,31211,723.0,51.0,2026-08-18,2026-08-19
500039,6066,30234,622.0,97.0,2026-08-18,2026-08-19
500040,6148,31356,27.0,73.0,2026-08-18,2026-08-19
500041,6040,30152,134.0,67.0,2026-08-18,2026-08-19
500042,6072,31057,171.0,22.0,2026-08-18,2026-08-19
