delivery_id,order_id,rider_id,distance_km,vehicle_type,delivery_rating,delay_flag
600001,7006020,100244,6.18,EV Scooter,3.4,No
600002,7013837,102935,11.54,EV,5.0,No
600003,7000651,102034,11.08,EV Scooter,1.6,No
600004,7006948,102907,4.11,EV Scooter,2.7,No
600005,7007009,100835,3.77,Bike,1.4,No
600006,7009616,102593,9.64,EV,4.9,Yes
600007,7009649,101084,6.265,Bike,1.9,No
600008,7013498,102572,7.9,EV,1.5,No
600009,7000280,101601,6.265,Bike,1.5,No
600010,7012095,103429,9.75,EV Scooter,4.9,Yes
600011,7011525,103549,1.58,Bicycle,4.0,No
600012,7006899,100111,10.41,Bicycle,2.9,No
600013,7003312,100710,6.275,EV,2.6,Yes
600014,7006349,102752,11.22,Bike,2.2,No
600015,7012024,102913,6.23,EV Scooter,4.5,No
600016,7009849,100106,0.77,EV Scooter,2.0,No
600017,7001665,103460,6.16,EV,3.6,Yes
600018,7007523,100032,1.35,Bicycle,4.7,Yes
600019,7002452,103282,6.13,EV,1.8,Yes
600020,7012360,100918,0.92,Bike,1.3,No
600021,7000873,102203,1.39,Bike,1.5,Yes
600022,7012951,101579,9.22,Bicycle,3.5,No
600023,7008562,101596,11.06,EV Scooter,2.9,Yes
600024,7013438,100883,10.14,EV Scooter,2.9,No
600025,7011507,102036,8.85,Bicycle,3.8,Yes
600026,7006446,100434,3.51,Bike,3.3,No
600027,7011700,103446,4.18,Bike,2.4,Yes
600028,7012034,102264,9.03,EV,2.9,Yes
600029,7005745,102160,7.62,Bike,2.9,Yes
600030,7008932,102859,1.49,Bicycle,2.2,No
600031,7003872,100601,4.21,Bicycle,3.2,Yes
600032,7014314,100916,1.56,Bicycle,2.5,No
600033,7011309,103121,1.93,EV,2.4,Yes
600034,7006751,102721,0.9,Bike,2.2,Yes
600035,7009467,103917,4.68,Bike,4.7,No
600036,7008238,103364,5.7,EV,4.1,No
600037,7004093,102217,6.275,EV,1.2,No
600038,7013074,100127,1.78,EV Scooter,2.7,No
600039,7013128,103475,0.56,Bike,4.8,No
600040,7004005,103586,1.17,EV Scooter,4.3,Yes
600041,7008157,102349,4.17,Bike,2.6,No
600042,7009706,103961,8.44,EV,2.9,Yes
600043,7014355,103793,1.38,EV Scooter,3.9,No
600044,7005790,103679,2.18,EV,1.7,No
600045,7004461,102664,4.03,EV Scooter,2.5,No
600046,7007350,102523,7.73,EV Scooter,2.9,Yes
600047,7011710,101574,6.52,EV Scooter,1.3,Yes
600048,7011656,102310,5.73,Bike,1.3,No
600049,7001249,102752,8.73,Bicycle,3.5,No
600050,7007077,100154,6.6,EV Scooter,1.9,Yes
600051,7007605,100368,6.05,Bike,4.8,Yes
600052,7006424,101723,9.41,EV,3.7,No
600053,7013918,101821,3.05,Bike,2.2,Yes
600054,7001083,103172,10.28,Bicycle,2.9,No
600055,7003674,102508,11.36,EV Scooter,4.3,No
600056,7005820,102264,5.82,Bike,3.5,Yes
600057,7007127,102492,4.11,Bike,2.2,No
600058,7003225,100079,2.22,Bicycle,2.5,Yes
600059,7001032,101528,11.86,Bicycle,1.6,Yes
600060,7008684,103289,0.95,Bike,4.3,No
600061,7005231,103980,5.65,EV Scooter,3.1,No
600062,7005211,101743,11.83,Bike,2.7,No
600063,7007842,100511,10.42,Bike,4.7,Yes
600064,7005296,103614,0.85,EV Scooter,2.7,No
600065,7001338,100774,9.69,Bicycle,1.6,No
600066,7010151,100553,6.83,Bicycle,1.8,No
600067,7013207,103393,1.82,EV,2.9,No
600068,7005603,102664,6.275,EV,1.6,No
600069,7004809,100950,8.43,Bike,2.7,No
600070,7013869,103757,3.45,Bike,4.3,Yes
600071,7013336,101861,5.05,EV Scooter,2.1,Yes
600072,7005463,102361,9.21,EV,2.3,No
600073,7007962,102065,8.43,EV,2.9,No
600074,7006585,103111,9.73,EV Scooter,3.8,No
600075,7000978,103970,4.32,EV Scooter,4.3,Yes
600076,7011523,101991,11.27,Bike,4.2,Yes
600077,7013426,102226,10.2,Bicycle,3.9,Yes
600078,7010467,102904,10.61,Bicycle,2.9,No
600079,7000595,102051,7.75,EV Scooter,4.2,No
600080,7006763,101329,5.41,EV Scooter,3.8,Yes
600081,7007328,103591,9.53,EV Scooter,3.0,No
600082,7010407,100750,11.9,Bike,1.2,No
600083,7013379,103423,9.93,Bike,1.9,No
600084,7000560,101168,9.91,EV,3.1,Yes
600085,7005182,103062,6.49,EV,1.6,No
600086,7000384,102210,5.72,Bike,3.9,Yes
600087,7010661,100327,8.84,EV Scooter,1.9,No
600088,7010923,100131,4.48,EV Scooter,2.2,No
600089,7007778,102610,1.1,EV,2.3,Yes
600090,7009545,103241,7.74,Bike,4.1,Yes
600091,7005194,103144,5.12,Bike,2.4,No
600092,7012091,101574,5.54,Bike,3.9,Yes
600093,7013054,102779,8.35,Bike,3.9,No
600094,7006055,103929,5.64,EV,2.5,Yes
600095,7000072,100902,5.92,Bike,2.4,No
600096,7012233,102242,4.31,Bike,1.7,No
600097,7005446,102768,10.57,Bike,2.8,No
600098,7014045,102064,10.76,EV,3.6,No
600099,7008583,101005,8.62,Bike,3.9,No
600100,7005466,102391,6.265,Bike,2.6,Yes
600101,7005441,100586,0.53,EV,1.2,No
600102,7003122,103289,9.49,EV Scooter,3.6,No
600103,7006726,101041,2.26,Bike,4.0,Yes
600104,7007697,100206,6.71,Bike,4.6,No
600105,7010040,103199,4.01,Bike,2.9,No
600106,7006016,103925,1.6,Bike,2.9,Yes
600107,7004448,100784,10.38,Bicycle,2.9,No
600108,7011348,102788,3.34,EV Scooter,3.4,No
600109,7003450,100111,10.79,EV Scooter,3.4,No
600110,7014754,102916,5.36,EV,2.0,No
600111,7011137,103895,2.05,Bike,4.1,No
600112,7008774,101596,11.6,EV Scooter,3.6,Yes
600113,7008762,102779,8.51,Bike,3.9,No
600114,7008255,103561,1.62,Bike,2.5,Yes
600115,7000047,101559,6.6,EV Scooter,4.7,No
600116,7012614,102572,8.06,Bike,4.4,No
600117,7002432,102144,8.98,Bicycle,1.2,No
600118,7006815,103716,2.87,EV,1.8,Yes
600119,7004916,100083,2.11,EV,4.8,No
600120,7005281,101416,5.58,Bike,2.3,No
600121,7001962,101964,1.95,EV,2.4,No
600122,7007682,102505,11.51,Bike,2.9,Yes
600123,7002775,102971,4.56,EV Scooter,3.3,Yes
600124,7002673,100729,1.68,EV Scooter,2.9,No
600125,7013768,100658,0.85,EV,2.4,Yes
600126,7003190,103209,3.32,Bike,2.9,No
600127,7002978,100325,9.43,Bike,1.4,No
600128,7005313,101157,6.265,Bike,4.1,No
600129,7004168,102446,6.11,EV Scooter,4.1,No
600130,7012465,103533,8.33,Bicycle,2.8,No
600131,7002196,100713,2.62,Bike,4.3,No
600132,7001992,100802,10.7,EV Scooter,3.4,No
600133,7003944,100105,9.18,EV,4.7,No
600134,7010871,100610,5.8,Bike,2.2,Yes
600135,7007526,103082,1.27,Bicycle,2.9,Yes
600136,7013213,102086,5.93,Bicycle,2.9,No
600137,7006918,102993,9.37,Bicycle,2.9,Yes
600138,7010365,101204,8.77,Bike,2.9,Yes
