pnl_id,platform_id,city,month,revenue_inr,cogs_inr,delivery_cost_inr,marketing_spend_inr,employee_cost_inr,other_opex_inr,orders_count,profit_inr,profit_margin_percent,total_cost_inr,cost_to_revenue_percent,aov_inr
300001,1,Mumbai,2024-10-01,17067655.75,9943198.94,2650610.18,2532007.79,940157.27,647246.7,260280,354434.87,2.08,16713220.88,97.92,65.57
300002,1,Mumbai,2023-05-01,33036195.0,20856167.51,2951597.66,1913998.83,2296549.82,1619076.16,573852,3398805.02,10.29,29637389.98,89.71,57.57
300003,1,Delhi,2023-06-01,23096701.24,13245385.05,2661359.02,2939167.39,1468355.8,894821.39,234522,1887612.59,8.17,21209088.65,91.83,98.48
300004,1,Delhi,2023-04-01,21247484.24,14865325.49,3445110.92,2038784.47,1033005.99,658477.72,210310,-793220.35,-3.73,22040704.59,103.73,101.03
300005,1,Bengaluru,2024-02-01,24568443.84,18400643.38,2830943.21,2247103.73,1903167.6,664651.95,330980,-1478066.03,-6.02,26046509.87,106.02,74.23
300006,1,Hyderabad,2024-11-01,40954809.98,29193786.29,3281054.25,3469577.74,3652822.27,2440954.23,566831,-1083384.8,-2.65,42038194.78,102.65,72.25
300007,1,Chennai,2023-07-01,15458877.5,9868871.83,1781277.01,2075149.03,1079230.54,314436.98,95141,339912.11,2.2,15118965.39,97.8,162.48
300008,1,Chennai,2023-10-01,31476359.12,18348289.59,3391852.99,3748568.5,1921931.89,780436.08,245682,3285280.07,10.44,28191079.05,89.56,128.12
300009,1,Pune,2023-01-01,33605465.67,21441729.29,4054567.14,2593038.07,1625928.43,1351119.11,532556,2539083.63,7.56,31066382.04,92.44,63.1
300010,1,Pune,2023-11-01,44886514.88,33583942.84,7921389.27,5781123.09,2779051.21,2441103.16,295376,-7620094.69,-16.98,52506609.57,116.98,151.96
300011,1,Kolkata,2023-07-01,5744016.96,3162312.07,789859.72,615435.52,303121.24,299355.74,422836,573932.67,9.99,5170084.29,90.01,13.58
300012,1,Kolkata,2023-05-01,12266467.63,6898165.52,1259943.29,1239557.2,554498.05,587084.64,217496,1727218.93,14.08,10539248.7,85.92,56.4
300013,1,Ahmedabad,2024-04-01,13642840.24,10209750.19,1548221.8,802789.86,867333.54,278661.56,248105,-63916.71,-0.47,13706756.95,100.47,54.99
300014,1,Ahmedabad,2023-06-01,31627274.01,21444830.01,4365585.61,2305409.03,2708513.71,1760772.25,106690,-957836.6,-3.03,32585110.61,103.03,296.44
300015,1,Jaipur,2023-04-01,7861489.27,4859800.31,1038201.03,481266.55,403085.13,287949.0,363027,791187.25,10.06,7070302.02,89.94,21.66
300016,1,Jaipur,2024-09-01,44109376.56,28618837.53,5712983.82,6228357.98,2804221.19,1398487.75,270771,-653511.71,-1.48,44762888.27,101.48,162.9
300017,1,Lucknow,2023-04-01,2944636.76,1851832.21,259619.33,275937.74,141313.83,171746.51,245116,244187.14,8.29,2700449.62,91.71,12.01
300018,1,Lucknow,2024-06-01,27777332.09,17742706.9,2737674.89,2379071.87,2010860.33,605937.37,41230,2301080.73,8.28,25476251.36,91.72,673.72
300019,1,Chandigarh,2024-04-01,41135024.61,28173725.46,6047209.85,5688143.42,3275452.42,2359797.17,254192,-4409303.71,-10.72,45544328.32,110.72,161.83
300020,1,Kochi,2024-01-01,44014474.0,26909014.02,3914193.44,3230467.15,3762028.01,1495113.84,308326,4703657.54,10.69,39310816.46,89.31,142.75
300021,1,Kochi,2024-12-01,44576316.03,32377417.01,4905265.47,3181638.46,3663431.78,1653890.01,38872,-1205326.7,-2.7,45781642.73,102.7,1146.75
300022,2,Mumbai,2024-12-01,28049784.62,19241287.61,2917919.62,2686948.64,1922571.83,1180323.87,512496,100733.05,0.36,27949051.57,99.64,54.73
300023,2,Delhi,2023-05-01,30023641.75,18471788.8,3856639.58,2469168.19,1632176.91,1629851.53,154006,1964016.74,6.54,28059625.01,93.46,194.95
300024,2,Delhi,2023-07-01,6543713.17,3738952.14,713625.31,615925.05,346941.78,288325.94,259331,839942.95,12.84,5703770.22,87.16,25.23
300025,2,Bengaluru,2024-04-01,22531017.84,13460593.19,2398514.35,2951189.7,1927343.04,507572.36,59942,1285805.2,5.71,21245212.64,94.29,375.88
300026,2,Hyderabad,2023-05-01,23747273.29,14943466.75,4091939.91,1652869.55,1870789.66,1180139.54,298652,8067.88,0.03,23739205.41,99.97,79.51
300027,2,Hyderabad,2023-07-01,28543521.99,17776581.11,4938626.71,2029994.38,1952152.63,1128315.01,147686,717852.15,2.51,27825669.84,97.49,193.27
